#
# RSPConnections_CCU.dat (for CCU)
#
# $Id: RSPConnections_CCU.dat 22265 2012-10-09 13:13:58Z schoenmakers $
#
# List of Connections between RSP boards and the BG/P at CEP.
# Each station can have four RSP boards broadcasting at the same
# time; they all connect to the same BG/P I/O node. Thence, there
# is only one entry per station.
#
# The Core stations have two possible connections: one for
# 1x48 HBA tiles, one for 2x24 HBA tiles. These have two separate
# entries in this file.
#
# The International stations are connected through a VLAN and the
# connections indicate the IP, MAC of the router nodes these are
# connected to.
#
# There are separate entres for partition R00 and R01 as these are
# physically different nodes
#
# This file must be updated by hand if there are changes in the BG 
# configuration.
#
CS001 RSP_0 R00-M1-N07-J00 10.170.0.157 00:14:5E:7D:95:3C
CS001 RSP_0 R01-M1-N07-J00 10.170.1.157 00:14:5E:7D:94:A4
CS001 RSP_1 R00-M0-N07-J00 10.170.0.29 00:14:5E:7D:17:7B
CS001 RSP_1 R01-M0-N07-J00 10.170.1.29 00:14:5E:7D:95:04
CS002 RSP_0 R00-M1-N01-J00 10.170.0.133 00:14:5E:7D:0C:FB
CS002 RSP_0 R01-M1-N01-J00 10.170.1.133 00:14:5E:7D:1A:CF
CS002 RSP_1 R00-M0-N01-J00 10.170.0.5 00:14:5E:7D:95:B0
CS002 RSP_1 R01-M0-N01-J00 10.170.1.5 00:14:5E:7D:94:60
CS003 RSP_0 R00-M1-N02-J00 10.170.0.137 00:14:5E:7D:34:13
CS003 RSP_0 R01-M1-N02-J00 10.170.1.137 00:14:5E:7D:95:56
CS003 RSP_1 R00-M0-N02-J00 10.170.0.9 00:14:5E:7D:1B:A9
CS003 RSP_1 R01-M0-N02-J00 10.170.1.9 00:14:5E:7D:1C:DD
CS004 RSP_0 R00-M1-N03-J00 10.170.0.141 00:14:5E:7D:33:DF
CS004 RSP_0 R01-M1-N03-J00 10.170.1.141 00:14:5E:7D:1B:91
CS004 RSP_1 R00-M0-N03-J00 10.170.0.13 00:14:5E:7D:1E:47
CS004 RSP_1 R01-M0-N03-J00 10.170.1.13 00:14:5E:7D:1E:6B
CS005 RSP_0 R00-M1-N00-J01 10.170.0.130 00:14:5E:7D:1D:4E
CS005 RSP_0 R01-M1-N00-J01 10.170.1.130 00:14:5E:7D:94:5F
CS005 RSP_1 R00-M0-N00-J01 10.170.0.2 00:14:5E:7D:33:76
CS005 RSP_1 R01-M0-N00-J01 10.170.1.2 00:14:5E:7D:1E:54
CS006 RSP_0 R00-M1-N01-J01 10.170.0.134 00:14:5E:7D:0C:FC
CS006 RSP_0 R01-M1-N01-J01 10.170.1.134 00:14:5E:7D:1A:D0
CS006 RSP_1 R00-M0-N01-J01 10.170.0.6 00:14:5E:7D:95:B1
CS006 RSP_1 R01-M0-N01-J01 10.170.1.6 00:14:5E:7D:94:61
CS007 RSP_0 R00-M1-N02-J01 10.170.0.138 00:14:5E:7D:34:14
CS007 RSP_0 R01-M1-N02-J01 10.170.1.138 00:14:5E:7D:95:57
CS007 RSP_1 R00-M0-N02-J01 10.170.0.10 00:14:5E:7D:1B:AA
CS007 RSP_1 R01-M0-N02-J01 10.170.1.10 00:14:5E:7D:1C:DE
CS011 RSP_0 R00-M1-N09-J00 10.170.0.165 00:14:5E:7D:95:52
CS011 RSP_0 R01-M1-N09-J00 10.170.1.165 00:14:5E:7D:34:09
CS011 RSP_1 R00-M0-N09-J00 10.170.0.37 00:14:5E:7D:08:51
CS011 RSP_1 R01-M0-N09-J00 10.170.1.37 00:14:5E:7D:93:1E
CS013 RSP_0 R00-M0-N10-J01 10.170.0.42 00:14:5E:7D:1C:0A
CS013 RSP_0 R01-M0-N10-J01 10.170.1.42 00:14:5E:7D:92:AF
CS013 RSP_1 R00-M0-N14-J01 10.170.0.58 00:14:5E:7D:94:7B
CS013 RSP_1 R01-M0-N14-J01 10.170.1.58 00:14:5E:7D:1C:CC
CS017 RSP_0 R00-M1-N08-J00 10.170.0.161 00:14:5E:7D:94:46
CS017 RSP_0 R01-M1-N08-J00 10.170.1.161 00:14:5E:7D:8D:02
CS017 RSP_1 R00-M0-N08-J00 10.170.0.33 00:14:5E:7D:95:58
CS017 RSP_1 R01-M0-N08-J00 10.170.1.33 00:14:5E:7D:1D:1B
CS021 RSP_0 R00-M1-N00-J00 10.170.0.129 00:14:5E:7D:1D:4D
CS021 RSP_0 R01-M1-N00-J00 10.170.1.129 00:14:5E:7D:94:5E
CS021 RSP_1 R00-M0-N00-J00 10.170.0.1 00:14:5E:7D:33:75
CS021 RSP_1 R01-M0-N00-J00 10.170.1.1 00:14:5E:7D:1E:53
CS024 RSP_0 R00-M1-N03-J01 10.170.0.142 00:14:5E:7D:33:E0
CS024 RSP_0 R01-M1-N03-J01 10.170.1.142 00:14:5E:7D:1B:92
CS024 RSP_1 R00-M0-N03-J01 10.170.0.14 00:14:5E:7D:1E:48
CS024 RSP_1 R01-M0-N03-J01 10.170.1.14 00:14:5E:7D:1E:6C
CS026 RSP_0 R00-M1-N05-J00 10.170.0.149 00:14:5E:7D:16:83
CS026 RSP_0 R01-M1-N05-J00 10.170.1.149 00:14:5E:7D:1B:7D
CS026 RSP_1 R00-M0-N05-J00 10.170.0.21 00:14:5E:7D:16:0D
CS026 RSP_1 R01-M0-N05-J00 10.170.1.21 00:14:5E:7D:94:80
CS028 RSP_0 R00-M1-N09-J01 10.170.0.166 00:14:5E:7D:95:53
CS028 RSP_0 R01-M1-N09-J01 10.170.1.166 00:14:5E:7D:34:0A
CS028 RSP_1 R00-M0-N09-J01 10.170.0.38 00:14:5E:7D:08:52
CS028 RSP_1 R01-M0-N09-J01 10.170.1.38 00:14:5E:7D:93:1F
CS030 RSP_0 R00-M1-N06-J00 10.170.0.153 00:14:5E:7D:19:7B
CS030 RSP_0 R01-M1-N06-J00 10.170.1.153 00:14:5E:7D:1B:77
CS030 RSP_1 R00-M0-N06-J00 10.170.0.25 00:14:5E:7D:1C:7D
CS030 RSP_1 R01-M0-N06-J00 10.170.1.25 00:14:5E:7D:33:5B
CS031 RSP_0 R00-M1-N13-J00 10.170.0.181 00:14:5E:7D:95:40
CS031 RSP_0 R01-M1-N13-J00 10.170.1.181 00:14:5E:7D:97:12
CS031 RSP_1 R00-M1-N13-J01 10.170.0.182 00:14:5E:7D:95:41
CS031 RSP_1 R01-M1-N13-J01 10.170.1.182 00:14:5E:7D:97:13
CS032 RSP_0 R00-M1-N04-J01 10.170.0.146 00:14:5E:7D:95:F1
CS032 RSP_0 R01-M1-N04-J01 10.170.1.146 00:14:5E:7D:94:87
CS032 RSP_1 R00-M0-N04-J01 10.170.0.18 00:14:5E:7D:18:18
CS032 RSP_1 R01-M0-N04-J01 10.170.1.18 00:14:5E:7D:96:39
CS101 RSP_0 R00-M1-N04-J00 10.170.0.145 00:14:5E:7D:95:F0
